x_m,y_m,left_dist_m,right_dist_m
0.09962673611111086,0.0,0.8,0.8
0.19925347222222173,0.0,0.8,0.8
0.29888020833333256,0.0,0.8,0.8
0.39850694444444335,0.0,0.8,0.8
0.4981336805555543,0.0,0.8,0.8
0.5977604166666651,0.0,0.8,0.8
0.6973871527777761,0.0,0.8,0.8
0.7970138888888867,0.0,0.8,0.8
0.8966406249999977,0.0,0.8,0.8
0.9962673611111086,0.0,0.8,0.8
1.0958940972222224,0.0,0.8,0.8
1.195520833333336,0.0,0.8,0.8
1.295147569444447,0.0,0.8,0.8
1.3947743055555577,0.0,0.8,0.8
1.4944010416666687,0.0,0.8,0.8
1.5940277777777796,0.0,0.8,0.8
1.6936545138888903,0.0,0.8,0.8
1.7932812500000013,0.0,0.8,0.8
1.892907986111112,0.0,0.8,0.8
1.992534722222223,0.0,0.8,0.8
2.0921007360966057,0.0034775739188773803,0.8,0.8
2.191666749970989,0.0069551478377547805,0.8,0.8
2.290747489857833,0.01737116790411902,0.8,0.8
2.389828229744677,0.027787187970483265,0.8,0.8
2.4879407908620066,0.04509062467242586,0.8,0.8
2.5860533519793365,0.06239406137436844,0.8,0.8
2.6827195438536138,0.0865007616210704,0.8,0.8
2.7793857357278915,0.11060746186777237,0.8,0.8
2.8741344199315195,0.14139985405819858,0.8,0.8
2.9688831041351484,0.17219224624862478,0.8,0.8
3.0612524868570663,0.2095202810292762,0.8,0.8
3.153621869578984,0.2468483158099275,0.8,0.8
3.2431617538246797,0.29053005098857343,0.8,0.8
3.3327016380703753,0.33421178616721936,0.8,0.8
3.41897561734329,0.3840343255262838,0.8,0.8
3.5052495966162045,0.4338568648853482,0.8,0.8
3.587837182084596,0.4895773784330004,0.8,0.8
3.6704247675529866,0.5452978919806526,0.8,0.8
3.7489234374050593,0.6066448050503397,0.8,0.8
3.8274221072571324,0.6679917181200267,0.8,0.8
3.901449268560711,0.7346660332521054,0.8,0.8
3.97547642986429,0.8013403483841842,0.8,0.8
4.044671283272714,0.8730171031352086,0.8,0.8
4.113866136681138,0.9446938578862331,0.8,0.8
4.177891434926827,1.0210237084959972,0.8,0.8
4.241916733172514,1.0973535591057613,0.8,0.8
4.3004604247685085,1.177964483203772,0.8,0.8
4.3590041163645035,1.2585754073017825,0.8,0.8
4.411780866505442,1.3430745170848697,0.8,0.8
4.46455761664638,1.4275736268679566,0.8,0.8
4.511310197895489,1.5155490839915389,0.8,0.8
4.558062779144598,1.6035245411151209,0.8,0.8
4.598563325128794,1.6945475639418277,0.8,0.8
4.63906387111299,1.7855705867685345,0.8,0.8
4.673114987115786,1.8791975401979126,0.8,0.8
4.707166103118584,1.9728244936272916,0.8,0.8
4.734601828157821,2.068599051319015,0.8,0.8
4.762037553197058,2.164373609010738,0.8,0.8
4.78272416889848,2.2618289774635087,0.8,0.8
4.803410784599902,2.3592843459162793,0.8,0.8
4.817247466924185,2.4579455395623513,0.8,0.8
4.831084149248466,2.5566067332084232,0.8,0.8
4.8380034598952735,2.655992889435288,0.8,0.8
4.844922770542081,2.7553790456621527,0.8,0.8
4.844890985636105,2.855005768478185,0.8,0.8
4.844859200730128,2.954632491294217,0.8,0.8
4.837876475187142,3.0540142122156086,0.8,0.8
4.830893749644156,3.1533959331370003,0.8,0.8
4.816994116415987,3.2520482777892656,0.8,0.8
4.8030944831878175,3.350700622441531,0.8,0.8
4.782345687389864,3.4481427713410824,0.8,0.8
4.76159689159191,3.545584920240634,0.8,0.8
4.734100060321748,3.6413419522502295,0.8,0.8
4.706603229051586,3.7370989842598252,0.8,0.8
4.672492378507835,3.83070419129621,0.8,0.8
4.638381527964082,3.9243093983325936,0.8,0.8
4.5978229102678005,4.015306560044745,0.8,0.8
4.557264292571516,4.106303721756894,0.8,0.8
4.51045558547368,4.194249329088206,0.8,0.8
4.46364687837584,4.2821949364195175,0.8,0.8
4.410816221800101,4.366660353217209,0.8,0.8
4.357985565224363,4.451125770014897,0.8,0.8
4.299390449340929,4.5316993221487305,0.8,0.8
4.240795333457493,4.6122728742825645,0.8,0.8
4.176721343707462,4.688561856100228,0.8,0.8
4.112647353957431,4.764850837917891,0.8,0.8
4.043406779144229,4.83648342622164,0.8,0.8
3.9741662043310266,4.908116014525388,0.8,0.8
3.9000965145628963,4.974743080880441,0.8,0.8
3.826026824794763,5.041370147235495,0.8,0.8
3.747489026696661,5.102666959243004,0.8,0.8
3.6689512285985595,5.163963771250514,0.8,0.8
3.5863281058099377,5.219631576545496,0.8,0.8
3.5037049830213167,5.275299381840478,0.8,0.8
3.417399230555407,5.325066859217191,0.8,0.8
3.331093478089497,5.374834336593905,0.8,0.8
3.24152573964696,5.418458937399947,0.8,0.8
3.1519580012044237,5.462083538205992,0.8,0.8
3.059564819007335,5.499352595663047,0.8,0.8
2.9671716368102463,5.536621653120102,0.8,0.8
2.8724033239485722,5.567353697721643,0.8,0.8
2.7776350110868977,5.5980857423231845,0.8,0.8
2.680953456747494,5.6221303190612675,0.8,0.8
2.5842719024080907,5.646174895799351,0.8,0.8
2.486148320683194,5.663417379089265,0.8,0.8
2.388024738958296,5.680659862379179,0.8,0.8
2.2889373722055524,5.6910064134671705,0.8,0.8
2.189850005452809,5.701352964555162,0.8,0.8
2.0902817934004303,5.704790594794606,0.8,0.8
1.9907135813480519,5.708228225034048,0.8,0.8
1.8911498073055242,5.7117463675752,0.8,0.8
1.7915860332629963,5.71526451011635,0.8,0.8
1.692511958909492,5.725749966964187,0.8,0.8
1.5934378845559876,5.736235423812025,0.8,0.8
1.4953363848341694,5.753599777294091,0.8,0.8
1.3972348851123515,5.770964130776156,0.8,0.8
1.3005840947548677,5.795132962567017,0.8,0.8
1.203933304397384,5.819301794357876,0.8,0.8
1.1092042875565482,5.8501545141527975,0.8,0.8
1.0144752707157125,5.88100723394772,0.8,0.8
0.9221297250543444,5.918394233553869,0.8,0.8
0.8297841793929763,5.955781233160018,0.8,0.8
0.7402721858263362,5.99952008400361,0.8,0.8
0.6507601922596962,6.0432589348472,0.8,0.8
0.5645180213161666,6.0931365161918105,0.8,0.8
0.47827585037263703,6.1430140975364225,0.8,0.8
0.3957238358639501,6.198787296548182,0.8,0.8
0.31317182135526317,6.25456049555994,0.8,0.8
0.23471231172267443,6.315957484733218,0.8,0.8
0.15625280209008566,6.377354473906497,0.8,0.8
0.08226819940017549,6.4440760106499715,0.8,0.8
0.008283596710265321,6.510797547393446,0.8,0.8
-0.060865507099447304,6.582518439399471,0.8,0.8
-0.13001461090915997,6.6542393314054955,0.8,0.8
-0.19399119161230088,6.730610019717819,0.8,0.8
-0.2579677723154418,6.806980708030142,0.8,0.8
-0.3164600156280528,6.887628971255083,0.8,0.8
-0.3749522589406638,6.968277234480024,0.8,0.8
-0.4276750817229754,7.052810002846243,0.8,0.8
-0.480397904505287,7.137342771212463,0.8,0.8
-0.5270943386904178,7.225348042238292,0.8,0.8
-0.5737907728755488,7.313353313264122,0.8,0.8
-0.6142332388964349,7.404402160346942,0.8,0.8
-0.654675704917321,7.495451007429762,0.8,0.8
-0.6886670412317443,7.589099668297852,0.8,0.8
-0.7226583775461677,7.682748329165941,0.8,0.8
-0.7500331038104492,7.778540376637494,0.8,0.8
-0.7774078300747306,7.874332424109048,0.8,0.8
-0.7980318074296691,7.971800960638095,0.8,0.8
-0.8186557847846075,8.069269497167141,0.8,0.8
-0.8324312158101463,8.167939544288563,0.8,0.8
-0.8462066468356852,8.266609591409987,0.8,0.8
-0.853056081240672,8.365999973134587,0.8,0.8
-0.8599055156456586,8.465390354859187,0.8,0.8
-0.8616458330060056,8.565001876573001,0.8,0.8
-0.8633861503663525,8.664613398286816,0.8,0.8
-0.8704374618314603,8.76399088155729,0.8,0.8
-0.8774887732965682,8.863368364827767,0.8,0.8
-0.8914486090872089,8.962011924421,0.8,0.8
-0.9054084448778497,9.060655484014234,0.8,0.8
-0.926218836490341,9.158084607037521,0.8,0.8
-0.9470292281028322,9.255513730060807,0.8,0.8
-0.9745860111988236,9.351253487169908,0.8,0.8
